// region line is given as follow:
// ID (must be unique); displayed name; fandom ID; start stage ID 
twi_twi;The Wandering Inn;twi;twi_erins_room
twi_liscor;Izril: Liscor;twi;twi_marketstreet
twi_pallass;Izril: Pallass;twi;twi_marketstreet
twi_salazsar;Izril: Salazsar;twi;twi_ilvriss_office
twi_izril;Izril;twi;twi_high_passes
twi_high_passes;Izril: High Passes;twi;twi_high_passes_goblinhome
twi_invrisil;Izril: Invrisil;twi;twi_invrisil_gate
twi_riverfarm;Izril: Riverfarm;twi;twi_riverfarm_entry
twi_baleros;Baleros;twi;twi_elvallian
twi_talenqual;Baleros: Talenqual;twi;twi_talenqual_entry
twi_terandria;Terandria;twi;twi_seasons_hq
twi_chandrar;Chandrar;twi;twi_reim
